Queries:
Query:
Country of Operator/Owner	Current Official Name of Satellite	
Multinational	Eutelsat 113 West A	
Multinational	Eutelsat 117 West A	
Multinational	Eutelsat 117 West B	
Mexico	Mexsat-3	
Mexico	Mexsat-3	
Mexico	Painani-1	
Total Rows: 6
Query:
Current Official Name of Satellite	Class of Orbit	Launch Mass (kg.)	
1HOPSAT-TD	LEO	22	
Aalto-1	LEO	5	
AAUSat-4	LEO	1	
ABS-2	GEO	"6,330"	
ABS-2A	GEO	"1,800"	
ABS-3A	GEO	"2,000"	
ABS-4	GEO	"4,143"	
ABS-6	GEO	"2,894"	
Adelis-Sampson 1	LEO	9	
Adelis-Sampson 2	LEO	9	
Adelis-Sampson 3	LEO	9	
USA 311	GEO	"5,400"	
USA 139	GEO	"5,200"	
USA 171	GEO	"5,200"	
USA 202	GEO	"5,400"	
USA 223	GEO	"5,000"	
USA 237	GEO	"5,000"	
USA 268	GEO	"5,000"	
USA 235	GEO	"6,169"	
USA 246	GEO	"6,169"	
USA 288	GEO	"6,169"	
USA 292	GEO	"6,169"	
USA 298	GEO	"6,169"	
Aeneas	LEO	3	
Aeolus	LEO	"1,367"	
Aerocube 10A	LEO	2	
Aerocube 10B	LEO	2	
Aerocube 11A	LEO	4	
Aerocube 11B	LEO	4	
Aerocube 12A	LEO	4	
Aerocube 12B	LEO	4	
Aerocube 14A	LEO		
Aerocube 14B	LEO		
Aerocube 15A	LEO		
Aerocube 5C	LEO	2	
Aerocube 6A	LEO	5	
Aerocube 6B	LEO	5	
Aerocube 7A	LEO	2	
Aerocube 7B	LEO	2	
Aerocube 7C	LEO	2	
Aerocube 8C	LEO	5	
Aerocube 8D	LEO	2	
Eutelsat 48D	GEO	"3,460"	
AII-Bravo	LEO	9	
AII-Charlie	LEO	9	
AIM	LEO	215	
AISSat-1	LEO	6	
AISSat-2	LEO	6	
AISTechSat-2	LEO	3	
AISTechSat-3	LEO	2	
Al Yah-3	GEO	"3,795"	
Alcomsat	GEO	"5,225"	
ALE-2	LEO	75	
Alfa Crux	LEO	1	
Al-Farabi-2	LEO	4	
ALiCE	LEO	5	
Alsat-1B	LEO	103	
AlSat-1N	LEO	10	
Alsat-2A	LEO	130	
Alsat-2B	LEO	117	
Amazonas-2	GEO	"5,465"	
Amazonas-3	GEO	"6,265"	
Amazonas-4A	GEO	"2,938"	
Amazonas-5	GEO	"5,900"	
Amazonia-1	LEO	637	
AMC-1	GEO	"2,783"	
AMC-11	GEO	"2,340"	
AMC-15	GEO	"4,200"	
AMC-18	GEO	"2,081"	
AMC-21	GEO	"2,500"	
AMC-4	GEO	"3,909"	
AMC-6	GEO	"3,901"	
AMC-8	GEO	"2,015"	
AmGU-1	LEO	4	
Amos 17	GEO	"6,500"	
Amos 3	GEO		
Amos 4	GEO		
